,x,m/z,intensity,resolution,noise,S/N
184,2,1479.98193359375,3508583.25,46006.0,15155.349609375,231.50790581760077
185,4,697.9603271484375,3514037.25,67306.0,15242.162109375,230.54716416108843
186,6,697.9603881835938,3485902.25,67106.0,15145.580078125,230.15970547306694
187,1,319.98260498046875,2787355.5,99502.0,12240.4853515625,227.7160929443205
188,7,697.9603881835938,3729822.0,67006.0,16587.03515625,224.8636941361158
189,3,319.98260498046875,3189520.5,99902.0,14541.7119140625,219.33597081617248
190,1,644.9920654296875,2938280.75,69202.0,13401.2412109375,219.25437381142766
191,6,1479.982177734375,3637225.5,46206.0,16726.890625,217.44779597971456
192,2,1234.97607421875,3270716.5,50502.0,15140.185546875,216.02882539805398
193,2,118.99237823486328,2656084.25,160402.0,12393.6181640625,214.31064075394775
194,6,1234.9761962890625,3515866.5,50702.0,16477.09375,213.37904325512503
195,2,644.9921875,3007900.75,68802.0,14182.2568359375,212.08900563541138
196,6,1484.9600830078125,3461164.0,46202.0,16731.921875,206.8599187742741
197,7,118.9924087524414,2912995.0,160702.0,14158.0654296875,205.7480956326034
198,6,118.99240112304688,2712686.0,165402.0,13380.0263671875,202.74145398191845
199,5,644.9922485351562,2951210.25,69202.0,14570.0107421875,202.55374565063042
200,3,644.9920654296875,3113277.5,70002.0,15386.4228515625,202.33926560024605
201,3,1479.98193359375,3557454.5,46106.0,17599.833984375,202.1300032237964
202,5,1479.9822998046875,3347685.5,46206.0,16616.353515625,201.46932338987864
203,2,1484.9599609375,3045075.5,46002.0,15155.4521484375,200.92277486514593
204,6,644.9921875,2909019.25,70202.0,14822.69921875,196.2543533447829
205,1,1479.9818115234375,3054214.0,46206.0,15594.1279296875,195.85667206086626
206,5,118.99239349365234,2482005.25,160702.0,12726.603515625,195.02495280478684
207,4,1479.982177734375,3222417.0,46406.0,16761.451171875,192.25167122803055
208,7,644.9922485351562,3110599.75,70002.0,16207.99609375,191.9176023987003
209,3,1234.9759521484375,3332534.5,50602.0,17477.099609375,190.6800655992356
210,4,644.9922485351562,2861758.0,69502.0,15079.1494140625,189.7824553241169
211,1,118.99237823486328,2225146.75,161502.0,11734.6669921875,189.62163574658055
212,1,1234.9757080078125,2848151.0,50502.0,15253.490234375,186.7212655095459
213,4,118.99240112304688,2479775.75,163002.0,13482.8623046875,183.92057220208147
214,7,1479.9822998046875,3436515.0,46406.0,18699.5859375,183.77492482913433
215,2,298.9567565917969,2294245.5,103206.0,12517.12109375,183.2885919067727
216,4,1484.9600830078125,3055981.0,46202.0,16766.578125,182.26623090392812
217,5,1484.960205078125,3018351.25,46102.0,16610.263671875,181.7160347135707
218,4,1234.976318359375,2989510.25,50302.0,16515.36328125,181.01389591556915
219,6,1435.9661865234375,3016686.75,47002.0,16682.408203125,180.83041208851998
220,7,1484.96044921875,3377952.75,46002.0,18689.56640625,180.74002770178632
221,6,298.9568176269531,2560888.75,103106.0,14219.029296875,180.10292380245826
222,2,522.249755859375,2367976.5,78606.0,13166.7724609375,179.84487140073168
223,6,1379.988037109375,2951659.25,47806.0,16625.837890625,177.5344658968668
224,2,1379.98779296875,2683045.75,47706.0,15153.2939453125,177.06023255953335
225,3,118.99237823486328,2407598.25,163502.0,13661.2431640625,176.23566326185227
226,2,363.9722900390625,2154733.5,93302.0,12359.6494140625,174.3361342877896
227,5,1234.9759521484375,2945078.0,50502.0,16896.44140625,174.30167271261124
228,2,325.1837463378906,2118855.5,98306.0,12324.8740234375,171.91701075164704
229,7,298.9568176269531,2561070.5,102306.0,14909.630859375,171.77289794466165
230,3,1484.9599609375,3008670.25,46102.0,17602.15625,170.9262324040556
231,2,1435.9661865234375,2569243.0,46702.0,15154.4453125,169.53725108505188
232,4,522.249755859375,2425127.25,77906.0,14372.9951171875,168.72803686546771
233,6,1384.966064453125,2780237.0,47302.0,16630.869140625,167.17328339795455
234,7,1234.976318359375,3199573.0,50302.0,19148.01953125,167.09681096670204
235,2,168.98904418945312,1961006.25,134402.0,11966.359375,163.87659676149414
236,1,1484.9598388671875,2542637.75,46202.0,15601.1865234375,162.97720344412406
237,4,1379.98779296875,2698869.75,47806.0,16658.466796875,162.01189358592634
238,2,556.001220703125,2166100.25,75502.0,13373.1826171875,161.97342936273685
239,5,363.97235107421875,2170673.0,92702.0,13415.703125,161.8009119443749
240,5,298.956787109375,2164588.75,102506.0,13397.66015625,161.564685531318
241,7,168.9890899658203,2285098.5,137102.0,14358.80859375,159.14262559322933
242,3,1379.9874267578125,2781906.0,47806.0,17553.1796875,158.48444837496055
243,4,298.9567565917969,2238413.75,102406.0,14179.4658203125,157.86305199123981
244,3,1435.9659423828125,2770639.0,46802.0,17579.296875,157.60806701775437
245,3,556.001220703125,2304947.0,76102.0,14651.0185546875,157.32332816291103
246,3,522.2496337890625,2270713.25,78006.0,14475.2822265625,156.8683231497335
247,6,325.1838073730469,2254682.75,98006.0,14403.552734375,156.5365706350389
248,5,1379.988037109375,2620056.75,47906.0,16738.69921875,156.5269030621639
249,1,522.2496337890625,2011891.0,78206.0,12917.267578125,155.75205730096326
250,1,325.1837463378906,1904011.375,99106.0,12262.953125,155.26532276457675
251,6,363.97235107421875,2115454.75,92902.0,13834.9814453125,152.9062224161311
252,6,522.249755859375,2234409.75,78506.0,14633.2900390625,152.6936009629691
253,7,1379.9879150390625,2874209.5,47706.0,18900.837890625,152.0678351209835
254,5,1435.9661865234375,2518747.25,46702.0,16670.208984375,151.09272189453796
255,1,1435.9658203125,2343339.0,47002.0,15531.7138671875,150.87446369653824
256,1,298.9566955566406,1830014.625,103302.0,12149.658203125,150.62272488696874
257,1,1379.9876708984375,2319893.75,47606.0,15452.337890625,150.13221730075483
258,4,1435.9661865234375,2507207.25,46502.0,16716.119140625,149.98740012008898
259,5,168.98907470703125,1952625.75,134702.0,13034.677734375,149.8023802192319
260,7,363.97235107421875,2257360.75,92302.0,15085.9833984375,149.63298648690025
261,3,325.1837463378906,2180214.0,98306.0,14618.607421875,149.13965038404206
262,7,1435.966552734375,2793141.25,46702.0,18788.173828125,148.66486096795637
263,1,363.9722595214844,1795367.75,92602.0,12096.84375,148.41621394010318
264,1,168.98902893066406,1763904.625,134802.0,11899.9716796875,148.2276321725096
265,2,1384.9658203125,2239746.5,47302.0,15153.396484375,147.80491636376385
266,3,1384.9659423828125,2586574.75,47702.0,17555.501953125,147.33698625686816
267,5,522.2496948242188,2038389.875,78206.0,13980.013671875,145.80743072525271
