,x,m/z,intensity,resolution,noise,S/N
175,35,303.2331237792969,406397.625,51807.0,377.61907958984375,1076.2105173324783
176,36,303.2331237792969,416999.53125,51607.0,388.0779113769531,1074.5252925383695
177,40,303.2331237792969,398503.59375,51707.0,372.7829284667969,1068.9963603993042
178,26,255.23309326171875,359760.125,56507.0,337.6782531738281,1065.3932304453278
179,41,303.233154296875,408665.15625,51807.0,386.11981201171875,1058.3895038195994
180,58,255.2330780029297,376494.34375,56607.0,357.0951232910156,1054.3250780917972
181,52,255.23309326171875,372467.875,56307.0,354.5435791015625,1050.5559738068275
182,19,255.2330780029297,340052.0,56607.0,324.156494140625,1049.0365183073557
183,44,303.233154296875,378599.625,52007.0,362.3740539550781,1044.7757527555582
184,71,303.2331237792969,366098.34375,51907.0,351.0050048828125,1043.0003522947675
185,62,255.23309326171875,369067.90625,56507.0,354.02264404296875,1042.4980222598563
186,48,303.233154296875,363052.03125,51907.0,348.331298828125,1042.2607226838338
187,16,279.2331237792969,354759.0625,53602.0,340.4519958496094,1042.0237414519684
188,32,255.23309326171875,337616.6875,56607.0,324.3472595214844,1040.9111764905683
189,59,255.23309326171875,365497.78125,56507.0,352.2145690917969,1037.7134091654827
190,47,303.2331237792969,364513.84375,51707.0,351.56298828125,1036.8379377250865
191,15,279.2331237792969,345120.0,53402.0,333.5346374511719,1034.7351106840415
192,70,303.2331237792969,352246.0,51707.0,340.4742431640625,1034.5745884520995
193,25,255.2331085205078,334861.5,56407.0,325.5037536621094,1028.7485051481294
194,39,303.2331237792969,376507.0,51707.0,366.84320068359375,1026.3431332471155
195,44,255.2331085205078,347278.0625,56707.0,341.04632568359375,1018.2724056736731
196,16,255.2330780029297,332462.5,56207.0,327.13189697265625,1016.2949656596444
197,37,303.2331237792969,383538.125,52007.0,378.0663146972656,1014.4731495243524
198,49,255.23309326171875,361017.25,56507.0,356.31939697265625,1013.1843875670464
199,34,303.2331237792969,372968.09375,51607.0,368.4760437011719,1012.1908876455238
200,46,255.23309326171875,363013.15625,56407.0,359.1607360839844,1010.7261729330982
201,45,255.2330780029297,350620.3125,56407.0,348.3523254394531,1006.5106126611493
202,23,255.23309326171875,334384.46875,56207.0,333.11083984375,1003.8234387894654
203,42,303.233154296875,362971.125,51907.0,362.6758117675781,1000.8142622773286
204,33,255.23309326171875,326117.34375,56407.0,325.8843078613281,1000.7150877874458
205,81,279.2331237792969,294395.0625,53602.0,295.166259765625,997.3872445101368
206,30,255.2330780029297,327781.90625,56307.0,328.9183654785156,996.5448593092019
207,38,303.2331237792969,376260.90625,51807.0,378.77655029296875,993.3585010977501
208,18,255.2330780029297,332361.9375,56707.0,335.1727600097656,991.6138098165145
209,43,303.2331237792969,354720.21875,51707.0,357.9351501464844,991.018117680902
210,66,255.23309326171875,342265.3125,56407.0,345.72589111328125,989.9903978781058
211,43,255.2330780029297,334392.0625,56607.0,337.9442443847656,989.488852247706
212,20,255.2330780029297,315448.125,56407.0,321.9129943847656,979.9173394751549
213,55,255.23309326171875,357247.21875,56407.0,365.51617431640625,977.377319671637
214,67,255.2330780029297,327329.78125,56507.0,336.7420654296875,972.048980077148
215,31,255.2330780029297,327509.5,56707.0,337.1562805175781,971.3878071534984
216,71,255.2330780029297,320908.5625,56407.0,332.1073303222656,966.2796728653994
217,29,255.23309326171875,309741.25,56307.0,325.8916320800781,950.4424769148118
218,65,255.2330780029297,329281.34375,56307.0,348.7862548828125,944.0777528937718
219,72,303.233154296875,329164.4375,51907.0,352.1358642578125,934.7654439963712
220,77,255.2330780029297,291329.15625,56407.0,312.69671630859375,931.66682301356
221,54,255.2330780029297,337346.875,56307.0,363.2841491699219,928.6033419592166
222,24,255.2330780029297,286922.28125,56607.0,312.08184814453125,919.3815114716978
223,68,303.2331237792969,318595.4375,51907.0,346.5540771484375,919.3238761509011
224,14,255.23309326171875,289762.75,56407.0,316.5602722167969,915.34780397698
225,40,282.2520446777344,330831.3125,53502.0,361.79132080078125,914.4257849186238
226,77,303.2331237792969,304493.40625,51707.0,333.62518310546875,912.6811214180456
227,72,255.2331085205078,297508.59375,56607.0,326.72369384765625,910.5816301425675
228,65,327.233154296875,340229.59375,49807.0,375.599365234375,905.8311201822607
229,53,255.2330780029297,296192.96875,56407.0,327.1803894042969,905.2894927146574
230,66,327.233154296875,340639.59375,50007.0,380.6150817871094,894.9713504535562
231,74,303.233154296875,296596.40625,51907.0,332.1747131347656,892.8927896136054
232,36,282.25201416015625,341507.59375,53302.0,385.3017578125,886.338011248286
233,79,255.23306274414062,277833.875,56307.0,313.6972961425781,885.6750708929353
234,51,282.2520446777344,326932.375,53402.0,370.15728759765625,883.225552904311
235,48,255.23309326171875,288775.8125,56407.0,327.45001220703125,881.8928133599233
236,73,303.2331237792969,295132.8125,51907.0,335.7715148925781,878.9691781758811
237,75,303.2331237792969,275687.46875,51907.0,313.9769287109375,878.050084386332
238,79,303.2331237792969,279936.71875,51607.0,319.7455139160156,875.4985029235725
239,33,303.2331237792969,302156.84375,51707.0,346.4814758300781,872.0721447693905
240,70,255.2330780029297,281901.09375,56707.0,324.5076904296875,868.7038922767248
241,56,282.25201416015625,335654.3125,53602.0,386.6554260253906,868.0967339585673
242,64,255.2331085205078,305212.03125,56507.0,351.93817138671875,867.2319630672432
243,37,282.2520446777344,323084.28125,53602.0,372.5975341796875,867.1133102405089
244,51,327.2331848144531,337621.125,49707.0,389.56829833984375,866.6545158802242
245,78,255.2331085205078,275828.125,56607.0,318.4209899902344,866.2372571872833
246,62,327.233154296875,328930.9375,49707.0,380.0143127441406,865.5751282754065
247,32,303.2331237792969,291869.03125,52007.0,337.489501953125,864.824030261358
248,47,255.2330780029297,300041.25,56407.0,348.0733642578125,862.0057746727329
249,76,303.2331237792969,296211.25,51807.0,344.6476745605469,859.4610434487709
250,69,303.2331237792969,289277.6875,51607.0,336.9947204589844,858.4042121075544
251,61,327.2331848144531,327395.25,49507.0,382.16864013671875,856.6774340324631
252,57,282.25201416015625,321665.6875,53302.0,376.0762634277344,855.3203665878536
253,50,282.25201416015625,321642.6875,53302.0,377.0290222167969,853.0979541279213
254,80,303.2331237792969,285781.3125,51707.0,336.69573974609375,848.7820865078693
255,35,282.25201416015625,316295.40625,53402.0,373.0716857910156,847.814021531454
256,76,255.2330780029297,279930.9375,56307.0,330.22064208984375,847.7087795857373
257,41,282.2520446777344,316721.5,53502.0,374.2497253417969,846.2838542118977
258,78,303.233154296875,291041.53125,51507.0,345.0837707519531,843.3938536599602
259,50,327.2331848144531,328562.71875,49707.0,389.68157958984375,843.1569156946707
260,39,282.25201416015625,296973.84375,53502.0,353.6643371582031,839.705371868343
261,63,255.2330780029297,289053.8125,56607.0,346.9421081542969,833.1471035261249
262,80,255.2330780029297,262331.71875,56507.0,319.47222900390625,821.1409159661024
263,69,255.23309326171875,266747.09375,56207.0,325.05615234375,820.6185049157673
264,56,327.233154296875,322243.90625,49907.0,394.6268310546875,816.5788053203695
265,38,282.25201416015625,299081.1875,53502.0,368.0107116699219,812.6969623869359
266,58,282.25201416015625,297292.375,53602.0,367.1692810058594,809.6874939689079
267,55,327.2331848144531,315156.78125,49607.0,389.69842529296875,808.7196683257583
268,61,282.25201416015625,297216.71875,53602.0,368.8000183105469,805.9021257958009
269,49,282.25201416015625,298721.21875,53502.0,371.2945251464844,804.5397885469695
270,57,327.233154296875,312000.3125,49707.0,389.515625,800.9956275823338
271,75,255.2330780029297,243653.796875,56607.0,309.24078369140625,787.9096475131947
272,42,282.2520446777344,276122.375,53602.0,352.19293212890625,784.0088480223571
273,34,282.2520446777344,282576.46875,53302.0,362.2977294921875,779.956499164573
274,45,282.25201416015625,276280.03125,53602.0,354.3134765625,779.7615657480218
275,68,255.23309326171875,264356.875,56407.0,341.11968994140625,774.968091245065
276,27,303.2331237792969,282432.65625,51607.0,365.1156921386719,773.5429134684558
277,64,327.2331848144531,279038.625,49707.0,361.4493408203125,771.999263760502
278,60,282.2520446777344,277182.25,53502.0,359.5169982910156,770.9851031177983
279,74,255.2330780029297,251999.671875,56407.0,328.02703857421875,768.2283538891354
280,60,327.23321533203125,294833.5,49807.0,384.25531005859375,767.2854278969935
281,46,282.2520446777344,282888.34375,53402.0,369.0935363769531,766.4407958124949
282,26,303.2331237792969,260553.703125,51807.0,340.6061706542969,764.9705894185126
283,62,282.25201416015625,280675.75,53402.0,367.319580078125,764.1186727380643
284,31,303.2331237792969,270477.0,51607.0,354.34539794921875,763.3145557001478
285,52,327.2331848144531,286078.03125,49807.0,375.1390075683594,762.5920671495877
286,52,282.2520446777344,279290.46875,53502.0,366.293212890625,762.4778699718796
287,54,327.233154296875,292837.0,49807.0,384.1155700683594,762.3669093858525
288,73,255.2330780029297,245106.640625,56407.0,321.5555419921875,762.2528882769344
289,28,303.2331237792969,276371.6875,51607.0,362.7406921386719,761.8987709113873
290,55,282.25201416015625,279391.59375,53402.0,369.24188232421875,756.6627923987121
291,29,303.233154296875,261913.09375,51607.0,349.5860595703125,749.2092049434862
292,53,327.2331848144531,264913.15625,49807.0,354.6998596191406,746.8656924038561
293,67,327.2331848144531,281366.5625,49907.0,377.32867431640625,745.6803091091405
294,49,327.2331848144531,288443.09375,49807.0,386.93353271484375,745.459024257203
295,44,282.2520446777344,260683.59375,53502.0,350.6024475097656,743.530444814533
296,59,327.2331848144531,269227.59375,49507.0,363.12542724609375,741.4176302436176
297,58,327.233154296875,285895.28125,49907.0,385.7190246582031,741.2008819200456
298,66,282.25201416015625,266445.96875,53402.0,359.9858703613281,740.1567413814341
299,30,303.2331237792969,265919.5,51607.0,360.2703552246094,738.1109662331594
300,65,282.25201416015625,259543.734375,53402.0,356.44659423828125,728.1419953798111
301,59,282.2520446777344,260421.328125,53602.0,363.5743103027344,716.2808832894633
302,63,327.233154296875,273111.8125,49807.0,381.6280212402344,715.6492639414348
